time,coin,dir,px,sz,ntl,fee,closedPnl
2/12/2026 - 13:57:11,HYPE,Open Short,29.51,1.88,55.4788,0.007988,-0.007988
2/12/2026 - 13:57:23,HYPE,Open Short,29.542,1.61,47.56262,0.006849,-0.006849
2/12/2026 - 13:57:23,HYPE,Open Short,29.543,1.24,36.63332,0.005275,-0.005275
2/12/2026 - 13:57:28,HYPE,Open Short,29.557,1.66,49.06462,0.007065,-0.007065
2/12/2026 - 13:57:34,HYPE,Open Short,29.564,2.21,65.33644,0.009408,-0.009408
2/12/2026 - 13:58:21,HYPE,Open Short,29.594,1.24,36.69656,0.005284,-0.005284
2/12/2026 - 13:59:09,HYPE,Open Short,29.63,1.58,46.8154,0.006741,-0.006741
2/12/2026 - 13:59:13,HYPE,Open Short,29.65,1.21,35.8765,0.005166,-0.005166
2/12/2026 - 13:59:15,HYPE,Open Short,29.66,0.75,22.245,0.003203,-0.003203
2/12/2026 - 14:01:40,HYPE,Close Short,29.749,3.67,109.17883,0.015721,-0.700543
2/12/2026 - 14:01:42,HYPE,Close Short,29.727,2.28,67.77756,0.009759,-0.385047
2/12/2026 - 14:01:43,HYPE,Close Short,29.7,2.3,68.31,0.009836,-0.326316
2/12/2026 - 14:01:43,HYPE,Close Short,29.691,2.53,75.11823,0.010817,-0.336175
2/12/2026 - 14:01:44,HYPE,Close Short,29.676,1.78,52.82328,0.007606,-0.209814
2/12/2026 - 14:01:47,HYPE,Close Short,29.663,2.2,65.2586,0.009397,-0.230717
2/12/2026 - 14:01:47,HYPE,Short > Long,29.644,1.66,49.20904,0.007086,-0.045438
2/12/2026 - 14:01:50,HYPE,Open Long,29.639,3.18,94.25202,0.013572,-0.013572
2/12/2026 - 14:01:55,HYPE,Close Long,29.685,0.68,20.1858,0.002906,0.02749
2/12/2026 - 14:02:01,HYPE,Close Long,29.704,1.61,47.82344,0.006886,0.095671
2/12/2026 - 14:02:19,HYPE,Open Long,29.666,1.26,37.37916,0.005382,-0.005382
