Long	1.15	--	30.75 USDE	26.743	No	N/A	--	Canceled	287338643784
1/5/2026 - 16:41:16	Limit	HYPE 
hyna
Long	1.31	--	35.03 USDE	26.738	No	N/A	--	Open	287338670086
1/5/2026 - 16:41:14	Limit	HYPE 
hyna
Long	1.50	--	40.02 USDE	26.682	No	N/A	--	Canceled	287334440749
1/5/2026 - 16:41:14	Limit	HYPE 
hyna
Long	1.15	--	30.75 USDE	26.743	No	N/A	--	Open	287338643784
1/5/2026 - 16:34:19	Limit	HYPE 
hyna
Short	5.85	--	156.97 USDE	26.832	No	N/A	--	Open	287334653463
1/5/2026 - 16:34:19	Limit	HYPE 
hyna
Short	--	3.66	--	26.734	No	N/A	--	Filled	287334639530
1/5/2026 - 16:34:19	Limit	HYPE 
hyna
Short	3.66	--	97.85 USDE	26.734	No	N/A	--	Open	287334639530
1/5/2026 - 16:34:18	Limit	HYPE 
hyna
Short	3.07	--	82.58 USDE	26.899	No	N/A	--	Canceled	287332999758
1/5/2026 - 16:34:03	Limit	HYPE 
hyna
Long	5.38	--	143.15 USDE	26.607	No	N/A	--	Open	287334440751
1/5/2026 - 16:34:03	Limit	HYPE 
hyna
Long	1.88	--	50.10 USDE	26.651	No	N/A	--	Open	287334440750
1/5/2026 - 16:34:03	Limit	HYPE 
hyna
Long	1.50	--	40.02 USDE	26.682	No	N/A	--	Open	287334440749
1/5/2026 - 16:34:02	Limit	HYPE 
hyna
Long	--	6.90	--	26.695	No	N/A	--	Filled	287334355622
1/5/2026 - 16:34:02	Limit	HYPE 
hyna
Long	--	3.57	--	26.695	No	N/A	--	Filled	287334351597
1/5/2026 - 16:34:02	Limit	HYPE 
hyna
Long	--	4.50	--	26.722	No	N/A	--	Filled	287332996357
1/5/2026 - 16:33:59	Limit	HYPE 
hyna
Long	5.31	--	141.50 USDE	26.647	No	N/A	--	Open	287334390833
1/5/2026 - 16:33:59	Limit	HYPE 
hyna
Long	--	5.57	--	26.739	No	N/A	--	Filled	287334351596
1/5/2026 - 16:33:55	Limit	HYPE 
hyna
Long	6.39	--	170.49 USDE	26.680	No	N/A	--	Open	287334361137
1/5/2026 - 16:33:54	Limit	HYPE 
hyna
Long	--	3.78	--	26.766	No	N/A	--	Filled	287332996356
1/5/2026 - 16:33:54	Limit	HYPE 
hyna
Long	6.90	--	184.20 USDE	26.695	No	N/A	--	Open	287334355622
1/5/2026 - 16:33:54	Limit	HYPE 
hyna
Long	3.57	--	95.30 USDE	26.695	No	N/A	--	Open	287334351597
1/5/2026 - 16:33:54	Limit	HYPE 
hyna
Long	5.57	--	148.94 USDE	26.739	No	N/A	--	Open	287334351596
1/5/2026 - 16:33:53	Limit	HYPE 
hyna
Long	--	5.04	--	26.797	No	N/A	--	Filled	287332996355
1/5/2026 - 16:33:53	Limit	HYPE 
hyna
Long	--	1.15	--	26.818	No	N/A	--	Filled	287332996354
1/5/2026 - 16:33:53	Limit	HYPE 
hyna
Long	--	1.24	--	26.831	No	N/A	--	Filled	287332996353
1/5/2026 - 16:31:20	Limit	HYPE 
hyna
Short	4.34	--	117.16 USDE	26.995	No	N/A	--	Open	287332999761
1/5/2026 - 16:31:20	Limit	HYPE 
hyna
Short	5.31	--	143.11 USDE	26.951	No	N/A	--	Open	287332999760
1/5/2026 - 16:31:20	Limit	HYPE 
hyna
Short	1.79	--	48.19 USDE	26.920	No	N/A	--	Open	287332999759
1/5/2026 - 16:31:20	Limit	HYPE 
hyna
Short	3.07	--	82.58 USDE	26.899	No	N/A	--	Open	287332999758
1/5/2026 - 16:31:20	Limit	HYPE 
hyna
Short	0.86	--	23.12 USDE	26.886	No	N/A	--	Open	287332999757
1/5/2026 - 16:31:19	Limit	HYPE 
hyna
Long	4.50	--	120.25 USDE	26.722	No	N/A	--	Open	287332996357
1/5/2026 - 16:31:19	Limit	HYPE 
hyna
Long	3.78	--	101.18 USDE	26.766	No	N/A	--	Open	287332996356
1/5/2026 - 16:31:19	Limit	HYPE 
hyna
Long	5.04	--	135.06 USDE	26.797	No	N/A	--	Open	287332996355
1/5/2026 - 16:31:19	Limit	HYPE 
hyna
Long	1.15	--	30.84 USDE	26.818	No	N/A	--	Open	287332996354
1/5/2026 - 16:31:19	Limit	HYPE 
hyna
Long	1.24	--	33.27 USDE	26.831	No	N/A	--	Open	287332996353
Reduce Only
Trigger Conditions
TP/SL
1/5/2026 - 16:56:10	Limit	HYPE 
hyna
Long	3.57	--	94.36 USDE	26.430	No	N/A	--	Open	287346555702
1/5/2026 - 16:56:09	Limit	HYPE 
hyna
Long	2.49	--	65.79 USDE	26.421	No	N/A	--	Canceled	287345553521
1/5/2026 - 16:54:22	Limit	HYPE 
hyna
Long	2.49	--	65.79 USDE	26.421	No	N/A	--	Open	287345553521
1/5/2026 - 16:54:20	Limit	HYPE 
hyna
Long	3.62	--	95.64 USDE	26.421	No	N/A	--	Canceled	287345232529
1/5/2026 - 16:54:17	Limit	HYPE 
hyna
Long	2.97	--	78.47 USDE	26.421	No	N/A	--	Open	287345508662
1/5/2026 - 16:54:16	Limit	HYPE 
hyna
Long	3.78	--	99.87 USDE	26.421	No	N/A	--	Canceled	287345401651
1/5/2026 - 16:54:08	Limit	HYPE 
hyna
Long	3.78	--	99.87 USDE	26.421	No	N/A	--	Open	287345401651
1/5/2026 - 16:54:07	Limit	HYPE 
hyna
Long	3.03	--	80.26 USDE	26.487	No	N/A	--	Canceled	287344956816
1/5/2026 - 16:53:47	Limit	HYPE 
hyna
Long	3.62	--	95.64 USDE	26.421	No	N/A	--	Open	287345232529
1/5/2026 - 16:53:46	Limit	HYPE 
hyna
Long	3.34	--	88.58 USDE	26.521	No	N/A	--	Canceled	287343066833
1/5/2026 - 16:53:32	Limit	HYPE 
hyna
Short	3.83	--	102.06 USDE	26.648	No	N/A	--	Open	287345122568
1/5/2026 - 16:53:32	Limit	HYPE 
hyna
Short	5.31	--	143.11 USDE	26.951	No	N/A	--	Canceled	287332999760
1/5/2026 - 16:53:21	Limit	HYPE 
hyna
Long	3.00	--	79.37 USDE	26.456	No	N/A	--	Open	287345038831
1/5/2026 - 16:53:20	Limit	HYPE 
hyna
Long	--	1.38	--	26.582	No	N/A	--	Filled	287345026442
1/5/2026 - 16:53:20	Limit	HYPE 
hyna
Long	1.38	--	36.68 USDE	26.582	No	N/A	--	Open	287345026442
1/5/2026 - 16:53:20	Limit	HYPE 
hyna
Long	3.84	--	102.05 USDE	26.575	No	N/A	--	Canceled	287339956421
1/5/2026 - 16:53:16	Limit	HYPE 
hyna
Long	3.03	--	80.26 USDE	26.487	No	N/A	--	Open	287344956816
1/5/2026 - 16:53:15	Limit	HYPE 
hyna
Long	3.25	--	86.10 USDE	26.492	No	N/A	--	Canceled	287344290713
1/5/2026 - 16:51:55	Limit	HYPE 
hyna
Long	3.25	--	86.10 USDE	26.492	No	N/A	--	Open	287344290713
1/5/2026 - 16:51:54	Limit	HYPE 
hyna
Long	3.20	--	84.77 USDE	26.492	No	N/A	--	Canceled	287344258170
1/5/2026 - 16:51:52	Limit	HYPE 
hyna
Long	3.20	--	84.77 USDE	26.492	No	N/A	--	Open	287344258170
1/5/2026 - 16:51:51	Limit	HYPE 
hyna
Long	3.19	--	84.57 USDE	26.512	No	N/A	--	Canceled	287343393310
1/5/2026 - 16:51:33	Limit	HYPE 
hyna
Long	2.64	--	69.94 USDE	26.492	No	N/A	--	Open	287344119256
1/5/2026 - 16:51:32	Limit	HYPE 
hyna
Long	1.90	--	50.35 USDE	26.498	No	N/A	--	Canceled	287343449006
1/5/2026 - 16:50:21	Limit	HYPE 
hyna
Long	1.90	--	50.35 USDE	26.498	No	N/A	--	Open	287343449006
1/5/2026 - 16:50:20	Limit	HYPE 
hyna
Long	4.47	--	118.55 USDE	26.521	No	N/A	--	Canceled	287343019386
1/5/2026 - 16:50:13	Limit	HYPE 
hyna
Long	3.19	--	84.57 USDE	26.512	No	N/A	--	Open	287343393310
1/5/2026 - 16:50:13	Limit	HYPE 
hyna
Long	--	1.60	--	26.623	No	N/A	--	Filled	287341531021
1/5/2026 - 16:49:37	Limit	HYPE 
hyna
Long	3.34	--	88.58 USDE	26.521	No	N/A	--	Open	287343066833
1/5/2026 - 16:49:35	Limit	HYPE 
hyna
Long	4.43	--	117.36 USDE	26.492	No	N/A	--	Canceled	287341754108
1/5/2026 - 16:49:30	Limit	HYPE 
hyna
Long	4.47	--	118.55 USDE	26.521	No	N/A	--	Open	287343019386
1/5/2026 - 16:49:29	Limit	HYPE 
hyna
Long	2.93	--	77.64 USDE	26.498	No	N/A	--	Canceled	287342361376
1/5/2026 - 16:48:20	Limit	HYPE 
hyna
Long	2.93	--	77.64 USDE	26.498	No	N/A	--	Open	287342361376
1/5/2026 - 16:48:19	Limit	HYPE 
hyna
Long	2.41	--	63.90 USDE	26.515	No	N/A	--	Canceled	287341531022
1/5/2026 - 16:48:10	Limit	HYPE 
hyna
Short	7.12	--	190.64 USDE	26.775	No	N/A	--	Open	287342295383
1/5/2026 - 16:48:09	Limit	HYPE 
hyna
Short	4.34	--	117.16 USDE	26.995	No	N/A	--	Canceled	287332999761
1/5/2026 - 16:46:48	Limit	HYPE 
hyna
Long	4.43	--	117.36 USDE	26.492	No	N/A	--	Open	287341754108
1/5/2026 - 16:46:46	Limit	HYPE 
hyna
Long	3.50	--	93.00 USDE	26.572	No	N/A	--	Canceled	287340195373
1/5/2026 - 16:46:26	Limit	HYPE 
hyna
Long	2.41	--	63.90 USDE	26.515	No	N/A	--	Open	287341531022
1/5/2026 - 16:46:26	Limit	HYPE 
hyna
Long	1.60	--	42.60 USDE	26.623	No	N/A	--	Open	287341531021
1/5/2026 - 16:46:26	Limit	HYPE 
hyna
Long	4.99	--	132.78 USDE	26.609	No	N/A	--	Canceled	287339737430
1/5/2026 - 16:46:24	Limit	HYPE 
hyna
Long	5.09	--	135.24 USDE	26.569	No	N/A	--	Canceled	287341334817
1/5/2026 - 16:46:23	Limit	HYPE 
hyna
Long	2.52	--	66.86 USDE	26.531	No	N/A	--	Open	287341510919
1/5/2026 - 16:46:23	Limit	HYPE 
hyna
Long	--	0.62	--	26.662	No	N/A	--	Filled	287341356315
1/5/2026 - 16:46:07	Limit	HYPE 
hyna
Long	0.62	--	16.53 USDE	26.662	No	N/A	--	Open	287341356315
1/5/2026 - 16:46:07	Limit	HYPE 
hyna
Long	5.31	--	141.50 USDE	26.647	No	N/A	--	Canceled	287334390833
1/5/2026 - 16:46:04	Limit	HYPE 
hyna
Long	5.09	--	135.24 USDE	26.569	No	N/A	--	Open	287341334817
1/5/2026 - 16:46:04	Limit	HYPE 
hyna
Long	--	2.10	--	26.700	No	N/A	--	Filled	287341100551
1/5/2026 - 16:45:31	Limit	HYPE 
hyna
Long	2.10	--	56.07 USDE	26.700	No	N/A	--	Open	287341100551
1/5/2026 - 16:45:30	Limit	HYPE 
hyna
Long	0.84	--	22.43 USDE	26.700	No	N/A	--	Canceled	287341084471
