time,coin,dir,px,sz,ntl,fee,closedPnl
24/12/2025 - 11:35:09,BTC,Close Short,87582,0.00435,380.9817,0.171441,-0.355011
24/12/2025 - 11:35:10,BTC,Close Short,87582,0.00435,380.9817,0.171441,-0.355011
24/12/2025 - 11:35:13,BTC,Open Long,87584,0.00435,380.99039999999997,0.171445,-0.171445
24/12/2025 - 11:35:16,BTC,Open Long,87584,0.00435,380.99039999999997,0.171445,-0.171445
24/12/2025 - 11:35:18,BTC,Open Long,87567,0.00435,380.91645,0.171412,-0.171412
24/12/2025 - 11:35:22,BTC,Open Long,87564,0.00435,380.9034,0.171406,-0.171406
24/12/2025 - 11:35:25,BTC,Open Long,87561,0.00435,380.89034999999996,0.1714,-0.1714
24/12/2025 - 11:37:38,BTC,Close Long,87599,0.00021,18.39579,0.002759,0.0029109999999999995
24/12/2025 - 11:43:03,BTC,Close Long,87589,0.02154,1886.66706,0.849,-0.48281999999999997
27/12/2025 - 09:43:35,BTC,Open Short,87724,0.00635,557.0473999999999,0.083557,-0.083557
27/12/2025 - 09:43:37,BTC,Open Short,87733,0.02234,1959.9552199999998,0.293993,-0.293993
27/12/2025 - 09:46:18,BTC,Open Short,87733,0.0002,17.5466,0.002631,-0.002631
27/12/2025 - 09:46:36,BTC,Close Short,87699,0.00151,132.42549,0.019863,0.028457000000000003
27/12/2025 - 09:47:34,BTC,Close Short,87686,0.00047,41.21242,0.006181,0.014969
27/12/2025 - 09:47:44,BTC,Close Short,87666,0.001,87.666,0.013149,0.051851
27/12/2025 - 09:50:13,BTC,Close Short,87679,0.00021,18.41259,0.002761,0.008159
27/12/2025 - 09:50:52,BTC,Close Short,87678,0.0002,17.535600000000002,0.00263,0.00797
27/12/2025 - 09:51:04,BTC,Short > Long,87678,0.0433,3796.4574,0.569468,0.782032
27/12/2025 - 09:57:56,BTC,Open Long,87680,0.00046,40.3328,0.006049,-0.006049
27/12/2025 - 10:00:26,BTC,Close Long,87679,0.00171,149.93108999999998,0.022489,-0.020779
27/12/2025 - 10:00:27,BTC,Open Long,87666,0.00002,1.7533200000000002,0.000262,-0.000262
27/12/2025 - 10:01:34,BTC,Open Long,87657,0.00151,132.36207000000002,0.019854,-0.019854
27/12/2025 - 10:04:14,BTC,Open Long,87641,0.00038,33.303580000000004,0.004995,-0.004995
27/12/2025 - 10:07:09,BTC,Close Long,87684,0.00239,209.56476,0.031434,-0.011118999999999997
27/12/2025 - 10:09:04,BTC,Open Long,87622,0.00239,209.41658,0.031412,-0.031412
27/12/2025 - 10:10:07,BTC,Open Long,87622,0.00019,16.64818,0.002497,-0.002497
27/12/2025 - 10:10:10,BTC,Open Long,87622,0.00076,66.59272,0.009988,-0.009988
27/12/2025 - 10:11:54,BTC,Close Long,87684,0.0004,35.0736,0.005261,0.0018190000000000003
27/12/2025 - 10:12:01,BTC,Close Long,87684,0.00032,28.058880000000002,0.004208,0.0014559999999999998
27/12/2025 - 10:12:04,BTC,Close Long,87684,0.00223,195.53532,0.02933,0.010141
27/12/2025 - 10:13:00,BTC,Close Long,87684,0.00044,38.580960000000005,0.005787,0.002001
27/12/2025 - 10:13:12,BTC,Close Long,87684,0.00041,35.95044,0.005392,0.0018650000000000003
27/12/2025 - 10:14:29,BTC,Close Long,87684,0.00019,16.65996,0.002498,0.0008650000000000003
27/12/2025 - 10:16:55,BTC,Close Long,87684,0.00026,22.797839999999997,0.003419,0.001183
27/12/2025 - 10:17:37,BTC,Close Long,87670,0.01516,1329.0772,0.598084,-0.5419919999999999
27/12/2025 - 15:12:01,BTC,Open Short,87947,0.02212,1945.3876400000001,0.875424,-0.875424
27/12/2025 - 15:13:09,BTC,Close Short,88005,0.02212,1946.6706000000001,0.876001,-2.158961
27/12/2025 - 15:29:07,BTC,Open Short,88032,0.022,1936.704,0.290505,-0.290505
27/12/2025 - 15:29:07,BTC,Open Short,88054,0.01165,1025.8291000000002,0.153874,-0.153874
27/12/2025 - 15:29:07,BTC,Open Short,88103,0.00557,490.73371000000003,0.07361,-0.07361
27/12/2025 - 15:29:08,BTC,Close Short,87997,0.022,1935.934,0.29039,0.8448100000000001
